Image_ID,Item_ID,Question,Answer,Image_Path
81mEuveXFVL,B07PW6XQY8,What is the bed's finish?,Wenge,c3/c339ab63.jpg
81FicDiEqNL,B0854BVRH3,What is the case's primary material?,Silicon,85/85192c70.jpg
81mWFjPw4SL,B07T435KCK,Are these running shoes made with a mesh upper?,Yes,56/5684e0b5.jpg
71aPqwwhZuL,B015I37A9W,Is the included Lightning cable longer than 5 feet?,Yes,41/41de6e5a.jpg
51-Hu-kGggL,B07V9MNLW9,Is assembly required?,No,3e/3e26512a.jpg
81E4RyVNQwL,B07F8BQB9F,Is this olive oil trans fat free?,Yes,50/50e6f6f4.jpg
81zMNzA8UJL,B015GK1HFA,Are these mango slices dusted with sugar?,Yes,1b/1bf4f9bd.jpg
61J32xdonZL,B077L6C7YB,Are these snap peas pre-washed?,Yes,41/412573b0.jpg
71qyi42IJkL,B0746MHV7W,Is the slipper's sole suitable for outdoor wear?,Yes,77/77c29171.jpg
815M5nTgX5L,B074K94MRM,What is the weight of this cat food bag?,12,c2/c257ab51.jpg
71uFUyY9BSL,B07TBV4DYP,Is this case slim?,Yes,dc/dc74815f.jpg
81pqKA1+zCL,B00ADGNVLG,Are these knee pads machine washable?,Yes,54/54a17782.jpg
61Q37Vx4jQL,B01MFXI57Z,Are these earrings sterling silver?,Yes,17/17e86e30.jpg
71twGQUiLpL,B00R5WABNW,Is this a fitted sheet?,No,13/134b84e8.jpg
71oXncAS4YL,B077G5RRZ7,Are these sandals made of real leather?,No,51/51b1b1bd.jpg
61QbcfDL7sL,B07WY6GYSK,Is this case compatible with the Lenovo A7000?,Yes,97/972c05ea.jpg
61c0XKYYkJL,B07TG41L9Q,Is this case slim?,Yes,8f/8f2f3b28.jpg
61BSvdyg0oL,B0813YNP1K,What is the primary color of this Iris shelving unit?,Brown,ab/ab6eca5a.jpg
71kdyS5sJyL,B074KSG624,What color are the shoes?,Negro,1b/1bc1e993.jpg
61Iu6Qz8DQL,B07TGZWMYL,Is this a slim case?,Yes,49/49b1b22b.jpg
61jjpyV69vL,B07255V34N,What is the material of the find. Ida boots?,Leer,5a/5a756a67.jpg
41AeRQV1C4L,B077T5HKMG,Is it magnetic?,Yes,0b/0b4bf3cd.jpg
71-zGxMRejL,B07TH9K2Z4,Is this case for an Oppo F1s?,Yes,6b/6bd36809.jpg
91zUmIp9cxL,B074DZLJNP,Are these sneakers lace-up?,Yes,e6/e681412e.jpg
91ZzYFxUbbL,B074H7LF99,Is this rice pilaf suitable for microwave cooking?,Yes,be/beab9ac9.jpg
611Z3SWX3nL,B07C81V4QC,Is the fruit infuser basket dishwasher safe?,No,3f/3fe47e38.jpg
81RSpbBXDML,B07B51QMFH,Is this rug a low pile?,Yes,83/83ea169c.jpg
81bA40UzhkL,B07VYMN28P,Is assembly required?,No,c5/c57d66d0.jpg
81iw9DDmqwL,B0792JCVRH,Is this sofa made of stone?,No,94/94ba67bf.jpg
61kyrS09ZeL,B07F2HR9Z7,Does this stool swivel?,Yes,b4/b47389c3.jpg
817tVD0fJLL,B07ZKPZ5M9,What is the scent of this Presto! cleaner?,Floral,60/60befd2f.jpg
81ImPKqCl4L,B084GPJQ2Y,What is the style of these men's formal shoes?,Derby,e8/e87a616d.jpg
71joSTmz8DL,B07KBXSGHL,What is the number of curtain panels included?,Two,a2/a2f0a9f4.jpg
81nZ0MOWsfL,B071W6RGRZ,Is the buckle on this belt made of metal?,Yes,e6/e699d049.jpg
71McsmRVKXL,B078N2KZDF,Is this headset compatible with PC?,Yes,49/492929ff.jpg
71kEcpG8s8L,B07TF1FCHC,Is this case hard?,Yes,49/49b1b22b.jpg
91OSggzZTtL,B07BHH2ZVY,What is the depth of this mattress foundation?,Nine,8c/8cdf7f80.jpg
617wT3oaKeL,B08563MZKK,What is the case material of this phone cover?,Silicone,dc/dc7eac74.jpg
A1L1Pv2sKGL,B075X2X4SV,Is this ottoman made-to-order?,Yes,99/993f9f61.jpg
81wD7336REL,B01N27SNPO,Is the sandal's upper made of genuine leather?,Yes,15/155ed13d.jpg
81frGbs56LL,B01NB1TODQ,What is the material of the sneaker?,Leather,51/5170d2f7.jpg
A1KSfX5mryL,B078LBHRGF,Is this a queen-sized set?,No,95/95956a7c.jpg
71Wml0M77qL,B00WTHJ5SU,What color is the umbrella?,Black,58/58ee7776.jpg
71V4qi7AwQL,B07XYMTY4K,What is the number of shelves?,Two,48/48e55926.jpg
91BoSzcJ1wL,B078SW3688,What color is the sea fan in the print?,Teal,84/848c8b6e.jpg
A1mPG9XtYOL,B07FK69CKR,What is the chair's style?,Accent,9b/9b308db7.jpg
81NofWJvVcL,B07PDWT2HT,Is this suitcase expandable?,Yes,26/26a7bc90.jpg
81tQR-ojKwL,B079V5JHW2,Are these shoes made of genuine leather?,No,8f/8fc3932f.jpg
71JLZilozYL,B07TGZY1FX,Is this case slim?,Yes,e8/e8a5c4ee.jpg
71Dh3es52FL,B0853YYPH2,What is the material of this phone case?,Silicon,2f/2f357c87.jpg
71Xp-PgDMzL,B07TH141SX,Is this case slim?,Yes,19/1971f561.jpg
71KqfelzIwL,B07PYCNS6F,Is the bulb dimmable?,Yes,a1/a1f01d08.jpg
81ZTFQ78cXL,B07TB53SH2,Is this a slim case?,Yes,66/66f3a68c.jpg
719En2++SnL,B082MV25XQ,What is the heel type of these shoes?,Kitten,1d/1d6f748c.jpg
610xcVEOFsL,B00Q6EYHW6,Is this quilt made of 100% polyester?,Yes,2b/2b113658.jpg
91O7qkQzqUL,B07H2VGV3X,What is the net weight of this product?,200g,be/be1896cb.jpg
81Csv5HvkZL,B06XFRPZXH,Is this a set of two pillowcases?,Yes,d2/d2fefc17.jpg
616DGBPH+eL,B074H64BGR,Is this pizza frozen?,Yes,10/10d1ce9b.jpg
61a5pS-lzvL,B08547YRZ3,What is the primary material of this phone case?,Silicon,2f/2f357c87.jpg
813ErrJq4ML,B07TH3T8YC,Is this case 3D printed?,Yes,d1/d110c51a.jpg
716OH1cDuoL,B01N6WED4Q,Does this bootie have a zipper closure?,Yes,80/80bd5ff6.jpg
81qqXrBkAhL,B07BL69KQ3,What color is the suitcase?,Red,7c/7c637b6f.jpg
71Qbqj8vatL,B07TBV79F7,Is this case compatible with the Oppo A37?,Yes,b4/b410371e.jpg
A1L1Pv2sKGL,B075X2X4SV,Is this ottoman’s assembly flatpack?,Yes,b5/b53c63f8.jpg
61Vs8jfBkjL,B07T9TNCSV,Is this case slim?,Yes,c9/c9099bda.jpg
71JGP3jdSAL,B081HN6XH6,What is the design of this phone case?,Abstract,04/04088ff7.jpg
71KY0XT0lcL,B0829G49XL,What is the material of this cord cover?,Rubber,94/9473e5bd.jpg
81z2kbMAarL,B07JCNKWVQ,What is the capsule count?,50,cf/cfa556a7.jpg
81cJa7OgWQL,B07HSL64J6,How many shelves does the Rivet Minxing bookshelf have?,Five,b6/b6c80630.jpg
91i-FBqK3qL,B073P6HGN5,Is this wall art framed?,Yes,43/4381f3b9.jpg
81iQ5hPuyeL,B07QSK8VBJ,What is the phone model compatibility?,Note9,49/49b1b22b.jpg
91MDfcjtJtL,B07KQWY8F4,What is the salsa's style?,Cantina,81/81afee2a.jpg
71WcAsrQj9L,B08511NCRX,What is the design style of the phone case?,Panda,5a/5af2c628.jpg
713aUEtslEL,B07T2K7TSC,Is this case compatible with a Samsung Galaxy J2?,Yes,22/22488f34.jpg
61soB7GS-6L,B07T9TM4NM,Is this a slim case?,Yes,66/66f3a68c.jpg
71+CSHebnKL,B079PCMQW9,Is this body wash dermatologist tested?,Yes,94/94379c3e.jpg
81iw9DDmqwL,B0792JCVRH,What is the primary material of this sofa?,Stone,9b/9b734e03.jpg
61yZfCoTlTL,B07PBWBDY5,What is the finish of these cabinet knobs?,Brass,1a/1ac70dad.jpg
913MUdn4q3L,B07TC5GYPC,Is this case compatible with the Coolpad Note 3 Lite?,Yes,66/66f3a68c.jpg
615f3mW6o8L,B07HGGWDVV,Is this product compostable?,Yes,ad/ad6378d9.jpg
71XTZgtz56L,B07TRWW4J4,Is this case for a Xiaomi Redmi Note 7 Pro?,Yes,16/16e00330.jpg
71dg7tUGFzL,B07PKXG68Q,What is the main protein in this meal kit?,Chicken,6f/6f942ffa.jpg
71RIQlq2tfL,B07TF1F81Q,Is this case slim?,Yes,66/66f3a68c.jpg
71qa9wOSeKL,B0142RYEAI,What is the material of the Sixth & Love Women's Zip Bootie?,Leather,6b/6b45abfd.jpg
61+woWTqkwL,B0854CT7W4,What is the case's primary design feature?,Pattern,2f/2f357c87.jpg
91FSEWsaEsL,B0757NMPNZ,Is the frame wood?,Yes,e7/e74e45dc.jpg
61AHcslGkiL,B07TC5JFJ9,Is the Eiffel Tower design printed directly onto the case?,Yes,b5/b5588eed.jpg
812evjAVv1L,B06XG9V3J1,Are these loafers true to size?,No,96/96ce2b32.jpg
71Rnc+If9WL,B06XH5SVSL,Is the Rosalee stiletto made of genuine leather?,Yes,5d/5d6704f2.jpg
616W-bjUyeL,B081HN86G9,What is the phone case's design style?,Graphic,d8/d89025e7.jpg
61Svekp8m1L,B07T2K7582,Is this case compatible with a Samsung Galaxy On5?,Yes,49/49b1b22b.jpg
71cTlBPfEGL,B079XHCTG5,Are these bulbs dimmable?,Yes,7a/7a64b6b3.jpg
A1ggDzBwYTL,B06WRPK9GH,What is the primary material of the clutch body?,Leather,98/9827f208.jpg
91sXQN80MhL,B07FQZLKQ5,What is the color of the curtains?,Grey,09/093454b4.jpg
81yHDr358rL,B0853XKSJN,What is the design style of this phone case?,Denim,d8/d89025e7.jpg
61yU1gHwmwL,B07R2VSD68,What is the clock's diameter?,12,00/00931bcb.jpg
41J7SEnGvmL,B07DNVPGYQ,What is the material of this pillowcase?,Silk,91/91daa44a.jpg
71JlAZCNOBL,B071GFDG21,Are these chukka boots made of suede?,Yes,c2/c2a1403d.jpg
